ID,Ano,Faixa-Etária,Gênero,Como você se identifica,Estado,Região,Escolaridade,Área de Formação,Você está trabalhando?,Setor,Cargo como Gestor,Cargo Atual,Nivel,Média Salarial,Tempo de experiência na área de dados
ID3167,2023,30-34,Feminino,Branca,BA,Nordeste,Graduação,Estatística,Sim,Área de Consultoria,Não,Analista de Negócios,Sênior,5000,7 a 10 anos
ID3168,2023,35-39,Masculino,Branca,SC,Sul,Mestrado,Engenharia,Sim,Varejo,Não,Analista de Dados,Pleno,10000,3 a 4 anos
ID3169,2023,25-29,Masculino,Branca,SP,Sudeste,Pós-graduação,Engenharia,Sim,Setor Alimentício,Não,Cientista de Dados,Sênior,18000,7 a 10 anos
ID3170,2023,35-39,Masculino,Branca,PR,Sul,Graduação,Negócios,Sim,Indústria,Não,Analista de Dados,Pleno,5000,Mais 10 anos
ID3171,2023,22-24,Masculino,Branca,RS,Sul,Graduação,Tecnologia,Sim,Entretenimento ou Esportes,Não,Analista de Dados,Pleno,7000,1 a 2 anos
ID3172,2023,25-29,Masculino,Branca,PA,Norte,Mestrado,Ciências da Natureza,Sim,Área de Consultoria,Não,Analista de Dados,Pleno,7000,1 a 2 anos
ID3173,2023,25-29,Masculino,Branca,SP,Sudeste,Mestrado,Estatística,Sim,Finanças ou Bancos,Não,Cientista de Dados,Sênior,40000,4 a 6 anos
ID3174,2023,30-34,Masculino,Parda,RJ,Sudeste,Pós-graduação,Engenharia,Sim,Tecnologia,Não,Engenheiro de Dados,Pleno,10000,4 a 6 anos
ID3175,2023,25-29,Feminino,Branca,PR,Sul,Estudante de Graduação,Tecnologia,Sim,Setor Alimentício,Não,Analista de BI,Júnior,3500,1 a 2 anos
ID3176,2023,50-54,Feminino,Parda,SP,Sudeste,Mestrado,Ciências da Natureza,Sim,Educação,Não,Estatístico,Pleno,10000,Mais 10 anos
ID3177,2023,22-24,Feminino,Branca,MG,Sudeste,Estudante de Graduação,Estatística,Sim,Área de Consultoria,Sim,Supervisor,Não Declarou,5000,3 a 4 anos
ID3178,2023,22-24,Masculino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Varejo,Não,Analista de Dados,Pleno,7000,3 a 4 anos
ID3179,2023,35-39,Masculino,Parda,GO,Centro-oeste,Pós-graduação,Comunicação,Sim,Varejo,Não,Analista de BI,Júnior,5000,1 a 2 anos
ID3180,2023,30-34,Feminino,Branca,PE,Nordeste,Pós-graduação,Tecnologia,Sim,Varejo,Não,Engenheiro de Dados,Sênior,14000,7 a 10 anos
ID3182,2023,25-29,Masculino,Preta,DF,Centro-oeste,Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Analytics Engineer,Sênior,10000,7 a 10 anos
ID3183,2023,25-29,Feminino,Branca,SP,Sudeste,Graduação,Outra opção,Sim,Marketing,Não,Outra Opção,Júnior,3500,Menos 1 ano
ID3184,2023,25-29,Feminino,Branca,PR,Sul,Graduação,Tecnologia,Sim,Varejo,Não,Engenheiro de Dados,Pleno,7000,1 a 2 anos
ID3185,2023,25-29,Masculino,Preta,PE,Nordeste,Graduação,Engenharia,Sim,Finanças ou Bancos,Não,Engenheiro de Dados,Sênior,40000,5 a 6 anos
ID3186,2023,25-29,Masculino,Branca,SP,Sudeste,Estudante de Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Cientista de Dados,Júnior,3500,Menos 1 ano
ID3187,2023,22-24,Masculino,Branca,SP,Sudeste,Estudante de Graduação,Tecnologia,Sim,Área da Saúde,Não,Analista de BI,Júnior,2500,1 a 2 anos
ID3188,2023,22-24,Masculino,Branca,MG,Sudeste,Estudante de Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Analista de Dados,Júnior,1500,Menos 1 ano
ID3189,2023,25-29,Masculino,Preta,ES,Sudeste,Mestrado,Engenharia,Sim,Finanças ou Bancos,Não,Engenheiro de Dados,Pleno,7000,1 a 2 anos
ID3190,2023,30-34,Masculino,Branca,RS,Sul,Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Cientista de Dados,Sênior,14000,3 a 4 anos
ID3191,2023,35-39,Feminino,Branca,ES,Sudeste,Pós-graduação,Tecnologia,Sim,Indústria,Não,Outra Opção,Sênior,7000,3 a 4 anos
ID3192,2023,25-29,Masculino,Branca,PR,Sul,Mestrado,Tecnologia,Sim,Setor Automotivo,Não,Cientista de Dados,Júnior,2500,Menos 1 ano
ID3193,2023,25-29,Masculino,Branca,SP,Sudeste,Graduação,Negócios,Sim,Finanças ou Bancos,Sim,Supervisor,Não Declarou,18000,4 a 6 anos
ID3194,2023,25-29,Feminino,Branca,RS,Sul,Mestrado,Negócios,Sim,Finanças ou Bancos,Não,Economista,Pleno,7000,1 a 2 anos
ID3195,2023,25-29,Masculino,Branca,PR,Sul,Mestrado,Tecnologia,Sim,Tecnologia,Não,Engenheiro de Dados,Sênior,18000,5 a 6 anos
ID3196,2023,22-24,Masculino,Preta,RS,Sul,Estudante de Graduação,Engenharia,Sim,Finanças ou Bancos,Não,Analista de Dados,Pleno,3500,3 a 4 anos
ID3197,2023,25-29,Masculino,Branca,MT,Centro-oeste,Graduação,Engenharia,Sim,Finanças ou Bancos,Não,Analista de BI,Pleno,5000,1 a 2 anos
