DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2022/01/22 18:25:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,ITAQUI,Pampa,1.0,0.0,1.0,-29.38469,-55.84496,105.4
2022/01/22 18:25:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,ITAQUI,Pampa,1.0,0.0,1.0,-29.38536,-55.83626,135.4
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,FERNANDÓPOLIS,Mata Atlântica,2.0,5.6,-999.0,-20.28082,-50.25571,29.4
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,SÍTIO DO MATO,Cerrado,0.0,0.0,0.2,-13.04625,-43.55037,127.4
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,CASTRO,Mata Atlântica,3.0,0.9,0.0,-24.99666,-49.70594,48.8
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,CASTRO,Mata Atlântica,4.0,0.8,0.0,-24.99407,-49.67844,26.6
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,GUAÍRA,Cerrado,0.0,0.2,0.3,-20.25321,-48.391,20.7
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,4.0,0.0,0.1,-24.97287,-49.10756,127.7
2022/01/24 16:39:00,AQUA_M-T,Brasil,GOIÁS,FLORES DE GOIÁS,Cerrado,0.0,2.0,0.4,-14.59715,-46.96492,13.1
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,TURVO,Mata Atlântica,0.0,7.9,0.0,-24.78464,-51.36292,69.8
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,TURVO,Mata Atlântica,0.0,6.7,0.0,-24.78166,-51.32774,121.8
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,PEDREGULHO,Cerrado,0.0,6.6,0.0,-20.16831,-47.32934,26.4
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,TURVO,Mata Atlântica,0.0,7.5,0.0,-24.77505,-51.36068,89.8
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,JABORANDI,Cerrado,10.0,0.0,0.4,-13.53573,-44.39885,12.1
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,CARAMBEÍ,Mata Atlântica,0.0,1.2,0.0,-24.77251,-50.21121,36.2
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,PEDREGULHO,Cerrado,0.0,6.6,0.0,-20.16647,-47.31375,77.9
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,TURVO,Mata Atlântica,0.0,6.3,0.0,-24.77225,-51.3245,118.7
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,ITARARÉ,Cerrado,5.0,0.3,-999.0,-24.11979,-49.34069,35.2
2022/01/24 16:37:00,AQUA_M-T,Brasil,MINAS GERAIS,ALVINÓPOLIS,Mata Atlântica,8.0,0.0,0.0,-20.12534,-43.2896,7.2
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,ITAPEVA,Cerrado,4.0,0.0,0.0,-24.00866,-48.98391,24.1
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,TANQUE NOVO,Caatinga,9.0,2.0,1.0,-13.4682,-42.59895,15.9
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,SÍTIO DO MATO,Cerrado,0.0,0.1,0.2,-13.04492,-43.54118,34.3
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,ITAPEVA,Cerrado,4.0,0.0,0.0,-24.00196,-48.97988,31.9
2022/01/24 16:37:00,AQUA_M-T,Brasil,MINAS GERAIS,ALVINÓPOLIS,Mata Atlântica,8.0,0.0,0.0,-20.12398,-43.27987,6.5
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,ITAPEVA,Cerrado,4.0,0.0,0.0,-23.99509,-48.98572,25.8
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,CURIÚVA,Mata Atlântica,3.0,0.0,0.4,-23.98615,-50.47033,33.1
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,IGARAPAVA,Cerrado,0.0,1.5,0.1,-20.06206,-47.70916,19.3
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,CURIÚVA,Mata Atlântica,3.0,0.0,0.3,-23.98339,-50.44065,32.1
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,TANQUE NOVO,Caatinga,9.0,1.6,1.0,-13.46679,-42.58944,8.5
2022/01/24 16:37:00,AQUA_M-T,Brasil,PARANÁ,CURIÚVA,Mata Atlântica,3.0,0.0,0.3,-23.98088,-50.43599,26.2
2022/01/24 16:37:00,AQUA_M-T,Brasil,MINAS GERAIS,BOM JESUS DO GALHO,Mata Atlântica,7.0,0.0,0.3,-19.83172,-42.31524,4.7
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,BOTUCATU,Cerrado,4.0,0.0,0.2,-22.9286,-48.82386,30.2
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,AMPARO,Mata Atlântica,1.0,1.2,-999.0,-22.71168,-46.77397,13.1
2022/01/24 16:39:00,AQUA_M-T,Brasil,MINAS GERAIS,SÃO FRANCISCO DE SALES,Cerrado,2.0,2.9,0.3,-19.78667,-50.04452,32.5
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,ENGENHEIRO COELHO,Cerrado,5.0,0.0,0.2,-22.47733,-47.11624,29.3
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,CORRENTINA,Cerrado,10.0,9.9,0.0,-13.4534,-45.72727,17.8
2022/01/24 16:39:00,AQUA_M-T,Brasil,BAHIA,SÃO DESIDÉRIO,Cerrado,7.0,0.0,0.1,-12.87291,-44.84979,12.6
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,ENGENHEIRO COELHO,Cerrado,5.0,0.0,0.2,-22.47549,-47.09969,33.3
2022/01/24 16:39:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTA VITÓRIA,Cerrado,1.0,1.1,0.0,-19.07288,-50.14851,28.3
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,CONCHAL,Cerrado,4.0,0.0,-999.0,-22.3474,-47.16266,14.8
2022/01/24 16:37:00,AQUA_M-T,Brasil,SÃO PAULO,MOGI GUAÇU,Cerrado,0.0,0.3,0.1,-22.25568,-47.07431,21.0
2022/01/24 16:39:00,AQUA_M-T,Brasil,MINAS GERAIS,VAZANTE,Cerrado,4.0,0.0,0.1,-17.53222,-46.60366,7.6
